"","itens"
"4895","GUIA PARA CIRURGIA FIO GUIA HIDROFILICA 0,035X260CM, REGULAR"
"4896","GUIA PARA CIRURGIA FIO GUIA HIDROFILICA 0,035X260CM, STIFF"
"4897","GUIA PARA CIRURGIA FIO GUIA TEFLONADO,PONTA EM J, 3MM, 0,035,140CM A 160CM"
"4898","GUIA PARA CIRURGIA MICRO CATETER"
"4899","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE 0ASTE INTRAMEDULAR LONGA PARA"
"4900",""
"4901","FEMUR C/BLOQUEIO CEFÇLICO."
"4902","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE COMPONENTE ACETABULAR"
"4903",""
"4904","POLIETILENO CIMENTADO - CROSS LINKED"
"4905","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE COMPONENTE ACETABULAR"
"4906",""
"4907","POLIETILENO PARA ESFERAS 22,28,32"
"4908","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE COMPONENTE"
"4909",""
"4910","CEFÇLICO/POLIETILENO/METALICO BIPOLAR"
"4911","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE COMPONENTE FEMORAL FABRICADA EM"
"4912",""
"4913","ACO INOXIDÇVEL POLIDA"
"4914","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE FIOS DE CERCLAGEM EM ACO INOX"
"4915",""
"4916","DIVERSOS DIÄMETROS."
"4917","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE BLOQUEADA CANULADA"
"4918",""
"4919","FEMORAL."
"4920","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE BLOQUEADA CANULADA TIBIAL"
"4921","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE FEMORAL DE REVISAO NAO"
"4922",""
"4923","CIMENTADA C/ FIXACAO DISTAL"
"4924","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE FEMORAL POLIDA DE REVISAO"
"4925",""
"4926","CIMENTADA, EM ACO INOX"
"4927","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE FLEX÷VEL DE TITÄNIO, COM"
"4928",""
"4929","TRACAO."
"4930","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE INTRAMEDULAR PARA FEMUR"
"4931",""
"4932","CURTA C/ BLOQUEIO CEFÇLICO"
"4933","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE INTRAMEDULAR RETROGRADA,"
"4934",""
"4935","INCLUI PARAFUSOS."
"4936","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE ORTOPÓDICA FABR. EM CROMO-"
"4937",""
"4938","COBALTO-MOLIBDENIO JOELH0"
"4939","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE ORTOPÓDICA FABR. EM CROMO-"
"4940",""
"4941","COBALTO-MOLIBDENIO, TIBIAL"
"4942","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE P ASSOCIAÇÃO PARAFUSOS DE"
"4943",""
"4944","TITÅNIO.HIJG. SUS 0702050334"
"4945","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE HASTE P/ ASSOCIACAO C/ PARAFUSOS"
"4946",""
"4947","DE TITÄNIO SUS0702050334"
"4948","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE RESTRITOR FEMORAL PARA RETENCAO"
"4949",""
"4950","DE CIMENTO TAMANHOS 10 A 20M"
"4951","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE TELA CURVA PARA RECONSTRUCAO"
"4952",""
"4953","ACETABULAR FIXACAO C/PARAFUSOS"
"4954","HASTE PARA USO EM CIRURGIA DE ORTESE E PROTESE TELA RETA OU CURVA TROCANTERICA"
"4955",""
"4956","PARA RECONSTRUCAO FEMURAL"
"4957","INDICADOR QUIMICO FITA TIPO I P/ IDENTIFICAÇÃO DE PACOTES P/USO EM EMBALAGENS"
"4958","INDICADORES E MATERIAIS PARA ESTERELIZACAO A SECO INDI. QUIM, P/DETEC.FALHAS NA"
"4959",""
"4960","REMOCAO DE AR POR PRE-VACUO"
"4961","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO EMB.P/ESTER.DE ARTIGOS"
"4962",""
"4963","MÔDICOS HOSPITALARES0,50M X 0,50M"
"4964","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO EMBAL. P/ ESTERILIZACAO -"
"4965",""
"4966","TAMANHO 100CM X 100CM"
"4967","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO EMBAL. PARA ESTERILIZACAO -"
"4968",""
"4969","TAMANHO 1,20M X 1,20M CM"
"4970","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO EMBALAGEM  PARA"
"4971",""
"4972","ESTERILIZAÇÃO - TAMANHO 150M X 150CM"
"4973","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO EMBALAGEM PARA ESTERILIZAÇÃO"
"4974",""
"4975","30CM X 30CM"
"4976","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO EMBALAGEM PARA ESTERILIZAÇÃO"
"4977",""
"4978","TAMANHO 0,75M X 0,75M"
"4979","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO FITA ADESIVA FLEXIVEL,"
"4980",""
"4981","BRANCA/BEGE, MEDINDO 1.9CM(L)X50M(C)"
"4982","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO INDICADOR BIOLOGICO PARA"
"4983",""
"4984","ESTERILIZACAO A VAPOR (DETALHADA)"
"4985","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO INDICADOR DE FUNCIONAMENTO"
"4986",""
"4987","DAS ULTRASSONICAS"
"4988","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO INDICADOR DE LIMPEZA PARA"
"4989",""
"4990","LAVADORAS TERMODESINFECTADORAS"
"4991","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO INDICADOR EFICACIA DE LIMP."
"4992",""
"4993","CANULADOS TERMOD./ULTRASSONICAS"
"4994","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO INDICADOR QUIMICO DE"
"4995",""
"4996","TEMPERATURA PARA TERMODESINFECTADORAS"
"4997","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO INDICADOR QUIMICO INTERNO"
"4998",""
"4999","P/ESTERILIZACAO A VAPOR(DET)."
"5000","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO PACOTE TESTE DESAFIO PRONTO"
"5001","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO PACOTE TESTE DESAFIO,USO"
"5002",""
"5003","UNICO, ANSI/AAMI/ISO 11140-1:2014"
"5004","INDICADORES E MATERIAIS PARA ESTERELIZACAO A UMIDO PAPEL CREPADO MED. 60CM X"
"5005",""
"5006","60CM APROX. CX. C/ 500 FLS. (DET)"
"5007","INSERT PARA USO ESPEC÷FICO EM CIRURGIA DE ORTESE E PROTESE INSERT EM CERAMICA"
"5008",""
"5009","DELTA (LINER)"
"5010","KIT COMPLEMENTAR CONJUNTO PARA ANESTESIA REGIONAL TÓCNICA COMBINADA"
"5011","KIT INSUFLADOR KIT INSUFLADOR P/ANGIOPLASTIA,MANOM.C/ESCLA ENTRE 25 E 30ATM"
"5012","KIT PARA GASTROSTOMIA KIT P/GASTROSTOMIA ENDOSC. PERCUTANEA POR METODO"
"5013",""
"5014","PULL,N14"
"5015","KIT PARA USO EM CIRURGIA DE ORTESE E PROTESE KIT DE CIMENTACAO"
"5016","KIT PARA USO EM CIRURGIA DE ORTESE E PROTESE MICRO PLACAS EM TITÄNIO SISTEMA 1,4 -"
"5017",""
"5018","1,6"
"5019","KIT PARA USO EM CIRURGIA DE ORTESE E PROTESE MINIPLACAS EM TITÄNIO SISTEMA 2,0"
"5020",""
"5021","FORMAS E TAM. VARIADOS"
"5022","KIT PARA USO EM CIRURGIA DE ORTESE E PROTESE PARAFUSO EMERGÔNCIAL DE TITÄNIO,"
"5023",""
"5024","DIÄMETRO 2,7MM TAM 8 A 20MM"
"5025","KIT PARA USO EM CIRURGIA DE ORTESE E PROTESE PARAFUSOS BLOQUEADO DE TITÄNIO,"
"5026",""
"5027","DIÄMETRO 2,4MM TAM.8 A 20MM"
"5028","KIT PARA USO EM CIRURGIA DE ORTESE E PROTESE PLACA PARA RECONSTRUCAO DE"
"5029",""
"5030","MANDIBULA 2,4MM UNIVERSAL"
"5031","KIT PARA USO EM CIRURGIA DE ORTESE E PROTESE PLACAS  PARA RECONSTRUCAO DE"
"5032",""
"5033","MANDIBULA 2,4 SISTEMA BLOQUEADO"
"5034","KIT PERCUTANEO GUIA EXTRA-SUPORTE (DETALHADA)"
"5035","KIT PERCUTANEO INTRODUTOR VALV. PERC. TAMANHOS 12,18,20,22 E 24FR DE 30CM"
"5036","LAMINA ANGULADO LAMINA CRESCENTE ANGULADO,2 A 3MM C/BISEL P/CIMA (DET.)"
"5037","LAMINA DE SWAVER LÅMINA  SHAVER (CÅNULA DE DEBRIDAÇÃO)RETA,DESC.TAM.MIN.150MM"
"5038","LAMINA DE SWAVER LAMINA DE CORTE E PERFURANTE PARA SHAVER DIAMETRO 5,5MM"
"5039","LAMINA DE SWAVER LÄMINA OSSEA TIPO BARREL BURR, DESCARTAVEL,COMP. M÷NIMO 190"
"5040","LUVAS CIRURGICAS LUVA CIRURGICA NC6,5, ESTÓRIL,EM LATEX NATURAL"
"5041","LUVAS CIRURGICAS LUVA CIRURGICA,NC6,5 SINTETICA  (D)"
"5042","LUVAS CIRURGICAS LUVA CIRURGICA,NC7,0 ESTERIL EM LATEX NATURAL"
"5043","LUVAS CIRURGICAS LUVA CIRURGICA,NC7,5 ESTÓRIL EM LATEX NATURAL (DETALHADA)"
"5044","LUVAS CIRURGICAS LUVA CIRURGICA,NC8,0 ESTÓRIL EM LATÓX NATURAL"
"5045","LUVAS CIRURGICAS LUVA CIRURGICA,NC8,5 ESTÓRIL EM LATEX NATURAL"
"5046","LUVAS CIRURGICAS LUVA CIRÞRGICA NC 7,5 ESTÔRIL, SINTÔTICA SEM LATEX."
"5047","LUVAS CIRURGICAS LUVA CIRÞRGICA NC 8,0 ESTÔRIL, SINTÔTICA SEM LATEX."
"5048","LUVAS CIRURGICAS LUVA CIRÞRGICA NC 8,5 ESTÔRIL, SINTÔTICA SEM LATEX."
"5049","LUVAS CIRURGICAS LUVA CIRÞRGICA,NC 7,0ESTÔRIL,SINTÔTICA POLIISOPRENO,SEMLATEX"
"5050","LUVAS DE PROCEDIMENTOS DESCARTAVEL DE LATEX, TAMANHO M, CAIXA COM 100"
"5051","LUVAS DE PROCEDIMENTOS DESCARTAVEL DE LATEX, TAMANHO P, CAIXA COM 100"
"5052","LUVAS DE PROCEDIMENTOS DESCARTAVEL DE LATEX, TAMANHO PP, COM TALCO, CAIXA COM"
"5053",""
"5054","100 UNIDADES"
"5055","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE PROCEDIMENTO DESCARTAVEL, S/ TALCO,"
"5056",""
"5057","TAM. GRANDE (G)"
"5058","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE PROCEDIMENTO DESCARTAVEL, S/ TALCO,"
"5059",""
"5060","TAM. MÔDIO (M)"
"5061","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE PROCEDIMENTO DESCARTAVEL, S/ TALCO,"
"5062",""
"5063","TAM. PEQUENO (P)"
"5064","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE PROCEDIMENTO, DESC.ISENTA DE LATEX"
"5065",""
"5066","NAO ESTERIL TAM.G"
"5067","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE PROCEDIMENTO, DESC.ISENTA DE LATEX"
"5068",""
"5069","NAO ESTERIL TAM.P"
"5070","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE PROCEDIMENTO,DESC.ISENTA DE LATEX"
"5071",""
"5072","NAO ESTERIL TAM.M"
"5073","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE VINIL, TAMANHO G"
"5074","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA DE VINIL, TAMANHO M"
"5075","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA EM POLIETILENO, COM CINCO DEDOS,"
"5076",""
"5077","TAMANHO ÞNICO"
"5078","LUVAS DE PROCEDIMENTOS DESCARTAVEL LUVA EM POLIETILENO,5 DEDOS, EST.,TAM. UNICO,"
"5079",""
"5080","UNIDADE"
"5081","MALHA TUBULAR COMPRES.P/TRAT.DE SEQUELAS DE QUEIMAD.-TORAX S/MANGAS G"
"5082","MALHA TUBULAR COMPRES.P/TRAT.DE SEQUELAS DE QUEIMAD.-TORAX S/MANGAS M"
"5083","MALHA TUBULAR COMPRES.P/TRAT.SEQUELAS DE QUEIMAD.MEIA ATE VIRILHA OU JOELH"
"5084","MALHA TUBULAR COMPRES.P/TRAT.SEQUELAS DE QUEIMAD.MEIA CALCA P/1 PERNA G"
"5085","MALHA TUBULAR COMPRES.P/TRAT.SEQUELAS DE QUEIMAD.MEIA CALCA P/1 PERNA P"
"5086","MALHA TUBULAR MALHA TUB.ALGODAO,ELAST.P/GESSO,MED.APROX.15CMX25MTS(DET)"
"5087","MALHA TUBULAR MALHA TUB.ALGODAO,ELAST.P/GESSO,MED.APROX.25CMX25MTS(DET.)"
"5088","MALHA TUBULAR MALHA TUB.ALGODAO,ELAST.P/GESSO,MED.APROX.8CMX25MTS(DET.)"
"5089","MALHA TUBULAR MALHA TUBULAR ALGODAO,ELASTICA,P/ GESSO, MED. 10CM X 25M"
"5090","MALHA TUBULAR MALHA TUBULAR ALGODAO,ELASTICA,P/ GESSO, MED. 4CM X 25M"
"5091","MALHA TUBULAR MALHA TUBULAR ALGODAO,ELASTICA,P/ GESSO, MED. 6CM X 25M"
"5092","MALHA TUBULAR MALHA TUBULAR ELASTICA NC 3, BRACOS, PERNAS, JOELHO E PÔS"
"5093","MALHA TUBULAR MALHA TUBULAR ELASTICA NC4,JOELHO,BRACO,PERNAS,DEDOS DOS PÔS"
"5094","MALHA TUBULAR MALHA TUBULAR ELASTICA NC6,COXA,CABECA,OMBROS E REGIAO PÔLVI"
"5095","MANGOTE PLASTICO COM ELASTICO NAS ESTREMIDADES"
"5096","MANTA TERMICA CORPO INTEIRO"
"5097","MANTA TERMICA MANTA TERMICA ACESSO CARDIACO ESTERILIZADO"
"5098","MANTA TERMICA MEMBRO INFERIOR"
"5099","MANTA TERMICA MEMBROS SUPERIORES"
"5100","MANTA TERMICA PEDIATRICA, P/USO SOBRE O CORPO. TAMANHO GRANDE"
"5101","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450)  MEIA ELÇSTICA,30-40 MMHG,CALCA,TAMANHO G"
"5102","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450)  VASELINA + OLEODE FIGADO DE BACALHAU-"
"5103",""
"5104","CUREFINI DERMAL"
"5105","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) AGULHA PARA CANETA 32G, 0,23/0,25 X 6 MM -"
"5106",""
"5107","NOVOFINE"
"5108","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) AGULHA PARA CANETA 4 MM X 0,23 MM -  BD"
"5109",""
"5110","ULTRA-FINE"
"5111","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) AGULHA PARA CANETA 5 MM X 0,25 MM - BD"
"5112",""
"5113","ULTRA-FINE"
"5114","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) AGULHA PARA CANETA 8 MM X 0,25 MM - BD"
"5115",""
"5116","ULTRA-FINE"
"5117","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) ALANTOINA 1%, SHAMPOO, FRASCO 200ML"
"5118","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) APLICADOR DO CONJUNTO DE INFUSAO - QUICK-"
"5119",""
"5120","SET MMT 305QS"
"5121","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) ATADURA ELASTICA DE ALTA COMPRESSAO"
"5122","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) ATADURA ELASTICA NEVADA 10CM X 2,2CM"
"5123","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) ATADURA ELASTICA NEVADA 12 CM X 2,2 M - NEVE"
"5124","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) ATADURA ELASTICA NEVADA 15 CM X 2,2 M"
"5125","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) ATADURA ELASTICA NEVADA 5 CM X 2,2 M"
"5126","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BALSAMO RELIPIDIZANTE, 200 ML - XERACALM A.D"
"5127","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BARREIRA PROTETORA, SPRAY, 50 ML - SENSI"
"5128",""
"5129","CARE"
"5130","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BETAMETASONA, DIPROP.0,5%+SALICILICO,ACIDO"
"5131",""
"5132","3% LOC CAPILAR"
"5133","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOLSA COLETORA DE URINA PERNA 750ML"
"5134","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOLSA DE COLOSTOMIA, 13 - 64 MM - HOLLISTER"
"5135",""
"5136","REF.: 8531"
"5137","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOMBA DE INFUSAO COMODATO EQUIPOS"
"5138",""
"5139","009610014 E 009610043"
"5140","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOMBA DE INFUSAO DE INSULINA-"
"5141",""
"5142","MEDTRONIC/MINIMED 640G MMT-1752"
"5143","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOTON P/GASTROSTOMIA PERC.ENDOSCOPICA"
"5144",""
"5145","14FR,1,2CM"
"5146","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOTON P/GASTROSTOMIA PERCUTANEA"
"5147",""
"5148","ENDOSCOPICA 16FR, 2,5CM"
"5149","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOTON PARA GASTROSTOMIA PERCUTANEA"
"5150",""
"5151","ENDOSCOPICA, 18 FR"
"5152","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOTTON P/GASTROSTOMIA PERCUTANEA"
"5153",""
"5154","ENDOSCOPICA, 16 FR  X 1,7CM"
"5155","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) BOTTON P/GASTROSTOMIA PERCUTANEA"
"5156",""
"5157","ENDOSCOPICA 18 FR X 2,5 CM."
"5158","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CANETA APLICADORA DE INSULINA - HUMAPEN"
"5159",""
"5160","LUXURA HD"
"5161","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CANETA APLICADORA DE INSULINA - NOVOPEN 4"
"5162","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CÅNULA DE TRAQUEOSTOMIA COM BALAO,Ä NC 6 -"
"5163",""
"5164","PORTEX OU SHIRLEY"
"5165","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CAPIXIL, VITAMINAS E ZINCO, SHAMPOO, 150 ML"
"5166","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CARELINK USB MMT 7306"
"5167","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CARTUCHO PLASTICO 3,15ML(SERINGA+AGULHA)-"
"5168",""
"5169","DISENTRONIC ROCHE"
"5170","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CATETER URETRAL HIDROF.LUB.ESTERIL TAM.12"
"5171",""
"5172","MASC.SPEEDICATH"
"5173","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CATETER URETRAL HIDROFILICO LUBR.TAM.10"
"5174",""
"5175","MASC.-SPEEDICATH"
"5176","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CATETER URETRAL HIDROFILICO LUBRIFICADO 10-"
"5177",""
"5178","SPEEDICATH"
"5179","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CETRIMIDA+OLEODE"
"5180",""
"5181","AMENDOA+CALÕNDULA,SABONETE 100G-CETRILAN"
"5182","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CICLOPIROX OLAMINA 1,5%, SHAMPOO, 120 ML"
"5183","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) COBERTURA DE ESPUMA DE POLIURETANO COM"
"5184",""
"5185","ESTRUTURA 3D 10X10CM"
"5186","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) COMPOSTO DE HIDROCOLOIDES"
"5187",""
"5188","NATURAIS,GEL,15G-DUODERM CONVATEC"
"5189","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CONEXAO (02) DUAS VIAS PARA INFUSAO"
"5190",""
"5191","PARENTERAL"
"5192","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CONJUNTO DE INFUSAO SILHOUETTE MMT 378"
"5193",""
"5194","COMBO SET 60CM, (DET)"
"5195","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CONJUNTO INFUSAO 6MM X 60CM-QUICK-SET"
"5196",""
"5197","PARADIGM REF.: MMT 399"
"5198","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CONJUNTO INFUSAO 9MM X 60CM-QUICK-SET"
"5199",""
"5200","PARADIGM REF.: MMT 397"
"5201","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME BARREIRA PROTETORA A BASE DE OXIDO E"
"5202",""
"5203","ZINCO"
"5204","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME DE BARREIRA DURAVEL, 92 G  - 3M"
"5205",""
"5206","CAVILON"
"5207","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME DE BARREIRA NUTRITIVO P/PELE A BASE"
"5208",""
"5209","DE AGUA, 118 ML"
"5210","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME DE BARREIRA, 24% SILICONE, 118 ML"
"5211","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME DENTAL, 90 G - SENSODYNE ORIGINAL"
"5212","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME HIDRATANTE CORPORAL,  200 G - EPIDRAT"
"5213",""
"5214","CORPO INTENSIVO"
"5215","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME HIDRATANTE, POTE 453 G -  CETAPHIL"
"5216","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME HIFRATANTE CORPORAL, 453 G - CERAVE"
"5217","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CREME PROTETOR E CICATRIZANTE, 40 G -"
"5218",""
"5219","CETRILAN"
"5220","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO  DE MEMBRANA CELULOSICA 18 CM X"
"5221",""
"5222","12 CM"
"5223","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO 10 X 10, PECA - URGOTUL"
"5224","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO 10 X 12, PECA - URGOTUL AG"
"5225","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO 10 X 20 CM - MEPILEX"
"5226","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO 15 X 20 CM - MEPILEX TRANSFER"
"5227","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO 17 X 25 CM - MEPITEL ONE"
"5228","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO 20 X 20 CM, PECA = CURATIVO -"
"5229",""
"5230","MEPILEX"
"5231","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO ABSORVENTE"
"5232",""
"5233","C/PRATA,15X15CM,ESTÔRIL-AQUACEL AG"
"5234","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO ABSORVENTE IMPREGNADO COM"
"5235",""
"5236","CLORETO"
"5237","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO ADESIVO DE ESPUMA DE SILICONE,12 X"
"5238",""
"5239","5,5 CM-FOAM LITE"
"5240","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO ALTAMENTE ABSORVENTE"
"5241","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO BIOLOGICO OCLUSIVO MEDINDO 20,3 X"
"5242",""
"5243","20,3 CM"
"5244","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO CARVAO ATIVADO C/PRATA 10X20CM."
"5245",""
"5246","CX C/10"
"5247","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO DE ALGINATO DE CALCIO COM PRATA"
"5248",""
"5249","10 X 10 CM"
"5250","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO DE HIDROFIBRA ESTERIL ABSORVENTE,"
"5251",""
"5252","5,5 X 12 CM"
"5253","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO GEL HIDRATANTE ALGINATO CALCIO E"
"5254",""
"5255","SODIO,85G-SAF GEL"
"5256","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO HIDROFIBRA ABSORVENTE 10 X 10 CM -"
"5257",""
"5258","AQUACEL"
"5259","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO HIDROFIBRA ESTERIL ABSORVENTE"
"5260",""
"5261","10X10CM-AQUACEL FOAM"
"5262","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) CURATIVO IMPREGNADO COM PRATA C/"
"5263",""
"5264","COBERTURA DE ESPUMA 15X15CM"
"5265","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) DEXPANTENOL, CREME, 20 G"
"5266","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) DISPOS. P/ INCONT. URINARIA MASC. C/ EXTENSOR"
"5267",""
"5268","TAM M (DET)"
"5269","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) DISPOSITIVO P/INFUSAO DE INSULINA - I-PORT"
"5270",""
"5271","ADVANCE MEDTRONIC"
"5272","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) ENLITE SENSORES MMT 7008A CAIXA COM 5"
"5273",""
"5274","UNIDADES"
"5275","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) EQUIPO PARA NUTRICAO ENTERAL - EMBRAMED"
"5276","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FITA DE PROTECAO DE POLIURETANO, 7 CM X 20 M"
"5277",""
"5278","- TENSOBAN"
"5279","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA CALCA, ADULTO, P/M - TENA PANTS"
"5280",""
"5281","CONFORT"
"5282","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA CALCA, ADULTO, P/M - TENA PANTS"
"5283",""
"5284","ULTRA CARE"
"5285","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC. ADULTO TAMANHO G - SEVEN"
"5286",""
"5287","MASTER"
"5288","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC. ADULTO TAMANHO G - TENA"
"5289",""
"5290","CONFORT"
