"","itens"
"110","FUZIL CALIBRE 5.56 COM 4 CARREGADORES"
"111","GRANADA INDOOR DE LUZ E SOM GB-707/I-REF"
"112","GRANADA INDOOR PIMENTA GB-708/I-REF"
"113","GRANADA LACRIMOGENIA RUBBERBALL (CS) GL 309"
"114","GRANADA LACRIMONENEA TRIPLICE HYPER, GL-300/TH"
"115","GRANADA LUZ E SOM GL-307/I-REF"
"116","GRANADA OUTDOOR EXPLOSIVA EFEITO MORAL GL-304"
"117","GRANADA TIPO GA"
"118","MIRA MIRA HOLOGRAFICA TIPO RED DOR"
"119","MUNICAO CALIBRE 308 WIN HPBT SNIPER A"
"120","MUNICAO CALIBRE 40"
"121","MUNICAO CBC 5.56X45 COMUM M193 TREINA A"
"122","MUNICAO CBC 5.56X45 COMUM SS 109A"
"123","MUNICAO TREINAMENTO CBC 12/70"
"124","MUNICAO TREINAMENTO CBC CAL 38 SPL"
"125","MUNICAO TREINAMENTO CBC CAL 40 SW"
"126","MUNICAO TREINAMENTO CBC CAL 7,62X51 COMUM M80"
"127","PISTOLA CALIBRE 9 MM"
"128","PROJETIL CAL 37/38MM CARGA LACRIMOGENIA LONGO ALCANCE GL202"
"129","PROJETIL CAL 37/38MM CARGA LACRIMOGENIA MEDIO ALCANCE GL201"
"130","PROJETIL CAL 37/38MM CARGA MULTIPLA LACRIMOGENIA GL 203/T"
"131","TONFA EM POLIMERO, NA COR PRETA"
"132",""
"133","CAPACHO/TAPETE MEDINDO 0,80X0,40M"
"134","COBERTOR MANTA TERMICA(ALUMINIZADO)MED.2.10X1,40 METROS"
"135","COLCHAO DE ESPUMA COLCHAO ESPUMA P/BERCO,TIPO HOSPITALAR, DENSID.26, 0,60X0,31"
"136","COLCHAO DE ESPUMA DE SOLTEIRO,DENSIDADE 33,MED.0,88 X 0,14 METROS"
"137","COLCHAO DE ESPUMA DENSIDADE 33, SOLTEIRO"
"138","COLCHAO DE ESPUMA FLEXIVEL,SOLTEIRO,MED.0,78 X 1,88 X 14 CM, DENSIDADE 28"
"139","COLCHAO DE ESPUMA PARA BERCO, COM LADO PLASTIFICADO"
"140","COLCHAO DE ESPUMA PARA CAMA PEDIATRICA,NAPA,MED 1,20 X 0,65 X 0,10M APROX."
"141","COLCHAO DE ESPUMA PARA CASAL"
"142","COLCHAO DE ESPUMA PARA SOLTEIRO"
"143","COLCHAO DE ESPUMA PIRAMIDAL(HOSPITALAR),SOLTEIRO,MED.1,90 X 0,90M"
"144","COLCHAO DE ESPUMA SOLT.TIPO HOSP.,DENS.28,REV.EM COURVIM,MED.1,90X0,80X0,15CM"
"145","COLCHAO DE ESPUMA SOLT.TIPO HOSPIT.,DENS.28,REV.EM COURVIM,MED.1,90X0,50X0,05M"
"146","COLCHAO DE ESPUMA SOLTEIRO"
"147","COLCHAO DE ESPUMA SOLTEIRO, TIPO HOSPITALAR, DENS. 28, MED. 1,90X0,80X0,15"
"148","COLCHAO DE ESPUMA TIPO COLCHONETE REVEST.EM COURVIM,ESP.5 CM E DENSID.33"
"149","COLETOR DE PLASTICO PARA LIXO CAPACIDADE 120 LITROS"
"150","COLETOR DE PLASTICO PARA LIXO COM TAMPA"
"151","FITA PARA PERSIANA USO GERAL"
